Total Words are: 4331
----------------------------------------------
Word            	Freq.	Probability
bryan           	9	0.0020780420
last            	9	0.0020780420
big             	9	0.0020780420
popular         	9	0.0020780420
2000            	9	0.0020780420
2006            	9	0.0020780420
include         	9	0.0020780420
michael         	9	0.0020780420
showrunners     	9	0.0020780420
ratings         	9	0.0020780420
books           	9	0.0020780420
vanity          	9	0.0020780420
press           	9	0.0020780420
lost            	9	0.0020780420
net             	8	0.0018471485
ever            	8	0.0018471485
91              	8	0.0018471485
90              	8	0.0018471485
end             	8	0.0018471485
snow            	8	0.0018471485
several         	8	0.0018471485
vulture         	8	0.0018471485
landing         	8	0.0018471485
inside          	8	0.0018471485
nudity          	8	0.0018471485
digital         	8	0.0018471485
dance           	8	0.0018471485
battle          	8	0.0018471485
women           	8	0.0018471485
visual          	8	0.0018471485
window          	8	0.0018471485
directing       	8	0.0018471485
german          	8	0.0018471485
only            	8	0.0018471485
between         	8	0.0018471485
screen          	8	0.0018471485
sound           	8	0.0018471485
these           	8	0.0018471485
williams        	8	0.0018471485
blog            	8	0.0018471485
audience        	8	0.0018471485
ryan            	8	0.0018471485
swords          	8	0.0018471485
family          	8	0.0018471485
numbers         	8	0.0018471485
week            	8	0.0018471485
pirated         	8	0.0018471485
styles          	8	0.0018471485
script          	8	0.0018471485
torrentfreak    	8	0.0018471485
arya            	8	0.0018471485
won             	8	0.0018471485
became          	8	0.0018471485
while           	8	0.0018471485
dark            	8	0.0018471485
tba             	8	0.0018471485
directed        	8	0.0018471485
2002            	8	0.0018471485
use             	8	0.0018471485
written         	8	0.0018471485
site            	8	0.0018471485
premiere        	8	0.0018471485
increased       	8	0.0018471485
like            	8	0.0018471485
sequence        	8	0.0018471485
included        	8	0.0018471485
under           	7	0.0016162549
jack            	7	0.0016162549
changes         	7	0.0016162549
golden          	7	0.0016162549
cersei          	7	0.0016162549
97              	7	0.0016162549
weeks           	7	0.0016162549
tourism         	7	0.0016162549
content         	7	0.0016162549
little          	7	0.0016162549
john            	7	0.0016162549
games           	7	0.0016162549
background      	7	0.0016162549
dead            	7	0.0016162549
war             	7	0.0016162549
maureen         	7	0.0016162549
1996            	7	0.0016162549
live            	7	0.0016162549
australian      	7	0.0016162549
such            	7	0.0016162549
