Total Words are: 8967
----------------------------------------------
Word            	Freq.	Probability
persian         	20	0.0022304004
viewers         	20	0.0022304004
there           	20	0.0022304004
james           	20	0.0022304004
manufacturing   	19	0.0021188803
her             	19	0.0021188803
created         	19	0.0021188803
com             	19	0.0021188803
filming         	19	0.0021188803
dance           	19	0.0021188803
america         	19	0.0021188803
fifth           	19	0.0021188803
stark           	19	0.0021188803
stein           	19	0.0021188803
lost            	19	0.0021188803
home            	19	0.0021188803
president       	19	0.0021188803
sopranos        	19	0.0021188803
received        	19	0.0021188803
higher          	19	0.0021188803
half            	19	0.0021188803
percent         	19	0.0021188803
son             	18	0.0020073603
city            	18	0.0020073603
variety         	18	0.0020073603
japan           	18	0.0020073603
violence        	18	0.0020073603
province        	18	0.0020073603
agricultural    	18	0.0020073603
although        	18	0.0020073603
street          	18	0.0020073603
independence    	18	0.0020073603
languages       	18	0.0020073603
g               	18	0.0020073603
sex             	18	0.0020073603
music           	17	0.0018958403
affairs         	17	0.0018958403
republic        	17	0.0018958403
land            	17	0.0018958403
1999            	17	0.0018958403
battle          	17	0.0018958403
market          	17	0.0018958403
food            	17	0.0018958403
products        	17	0.0018958403
party           	17	0.0018958403
decline         	17	0.0018958403
babur           	17	0.0018958403
106             	17	0.0018958403
growing         	17	0.0018958403
l               	17	0.0018958403
film            	17	0.0018958403
goods           	17	0.0018958403
would           	17	0.0018958403
65              	17	0.0018958403
minister        	17	0.0018958403
list            	17	0.0018958403
story           	17	0.0018958403
leading         	17	0.0018958403
literature      	17	0.0018958403
long            	17	0.0018958403
wall            	17	0.0018958403
dragons         	16	0.0017843203
silver          	16	0.0017843203
nations         	16	0.0017843203
eklevelup       	16	0.0017843203
being           	16	0.0017843203
scene           	16	0.0017843203
false           	16	0.0017843203
1996            	16	0.0017843203
law             	16	0.0017843203
post            	16	0.0017843203
lannister       	16	0.0017843203
now             	16	0.0017843203
title           	16	0.0017843203
sixth           	16	0.0017843203
labour          	16	0.0017843203
singh           	16	0.0017843203
against         	16	0.0017843203
women           	16	0.0017843203
ministry        	16	0.0017843203
further         	16	0.0017843203
value           	16	0.0017843203
name            	16	0.0017843203
rupee           	16	0.0017843203
known           	16	0.0017843203
rajput          	16	0.0017843203
centre          	16	0.0017843203
local           	16	0.0017843203
regional        	15	0.0016728003
effects         	15	0.0016728003
so              	15	0.0016728003
sharma          	15	0.0016728003
society         	15	0.0016728003
historians      	15	0.0016728003
agriculture     	15	0.0016728003
total           	15	0.0016728003
bank            	15	0.0016728003
supporting      	15	0.0016728003
h               	15	0.0016728003
centuries       	15	0.0016728003
real            	15	0.0016728003
actor           	15	0.0016728003
architecture    	15	0.0016728003
seven           	15	0.0016728003
billion         	15	0.0016728003
guardian        	15	0.0016728003
little          	15	0.0016728003
general         	15	0.0016728003
back            	15	0.0016728003
rate            	15	0.0016728003
writers         	15	0.0016728003
writing         	15	0.0016728003
pakistan        	15	0.0016728003
included        	15	0.0016728003
capital         	15	0.0016728003
80              	15	0.0016728003
danceplus3      	15	0.0016728003
own             	15	0.0016728003
91              	14	0.0015612802
97              	14	0.0015612802
2nd             	14	0.0015612802
winter          	14	0.0015612802
shipbuilding    	14	0.0015612802
books           	14	0.0015612802
said            	14	0.0015612802
nominations     	14	0.0015612802
rural           	14	0.0015612802
established     	14	0.0015612802
kingdoms        	14	0.0015612802
media           	14	0.0015612802
primetime       	14	0.0015612802
bbc             	14	0.0015612802
michael         	14	0.0015612802
bce             	14	0.0015612802
left            	14	0.0015612802
human           	14	0.0015612802
mad             	14	0.0015612802
blood           	14	0.0015612802
often           	14	0.0015612802
36              	14	0.0015612802
capita          	14	0.0015612802
reform          	14	0.0015612802
like            	14	0.0015612802
end             	14	0.0015612802
westeros        	14	0.0015612802
games           	14	0.0015612802
52              	14	0.0015612802
1st             	14	0.0015612802
62              	14	0.0015612802
finale          	14	0.0015612802
breaking        	14	0.0015612802
